index,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRate_cat,DistanceFromHome_cat,HourlyRate_cat,MonthlyIncome_cat,MonthlyRate_cat,TotalWorkingYears_cat,YearsAtCompany_cat,YearsInCurrentRole_cat,MonthlyRatetoIncomeDiff,MonthlyRatetoIncomeDiff_cat
641,32,0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,889,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3,<400,2-5,40-60,5000-7500,5000-10000,5 to 10,5 to 10,6 to 8,2367,0k to 5k
1278,36,0,Travel_Rarely,1383,Research & Development,10,3,Life Sciences,1,1790,4,Male,90,3,3,Healthcare Representative,1,Married,8321,25949,7,Y,Yes,13,3,4,80,1,15,1,3,12,8,5,7,>1200,5-10,>80,7500-10000,>25000,10 to 15,10 to 15,6 to 8,17628,15k-20k
99,44,0,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,400-800,>20,60-80,<2500,>25000,15 to 20,<5,<2,23001,>20k
544,47,0,Travel_Frequently,217,Sales,3,3,Medical,1,746,4,Female,49,3,4,Sales Executive,3,Divorced,13770,10225,9,Y,Yes,12,3,4,80,2,28,2,2,22,2,11,13,<400,2-5,40-60,>10000,10000-15000,25 to 30,>20,<2,-3545,<0
1298,46,1,Travel_Rarely,261,Research & Development,21,2,Medical,1,1821,4,Female,66,3,2,Healthcare Representative,2,Married,8926,10842,4,Y,No,22,4,4,80,1,13,2,4,9,7,3,7,<400,>20,60-80,7500-10000,10000-15000,10 to 15,5 to 10,6 to 8,1916,0k to 5k
797,26,1,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1107,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0,>1200,>20,<40,<2500,15000-20000,<5,<5,<2,16996,15k-20k
906,34,0,Travel_Rarely,1320,Research & Development,20,3,Technical Degree,1,1265,3,Female,89,4,1,Research Scientist,3,Married,2585,21643,0,Y,No,17,3,4,80,0,2,5,2,1,0,0,0,>1200,15-20,>80,2500-5000,20000-25000,<5,<5,<2,19058,15k-20k
266,31,0,Travel_Rarely,1463,Research & Development,23,3,Medical,1,367,2,Male,64,2,2,Healthcare Representative,4,Married,5582,14408,0,Y,No,21,4,2,80,1,10,2,3,9,0,7,8,>1200,>20,60-80,5000-7500,10000-15000,5 to 10,5 to 10,<2,8826,5k-10k
1209,60,0,Travel_Rarely,370,Research & Development,1,4,Medical,1,1697,3,Male,92,1,3,Healthcare Representative,4,Divorced,10883,20467,3,Y,No,20,4,3,80,1,19,2,4,1,0,0,0,<400,<2,>80,>10000,20000-25000,15 to 20,<5,<2,9584,5k-10k
1066,33,0,Travel_Rarely,1099,Research & Development,4,4,Medical,1,1502,1,Female,82,2,1,Laboratory Technician,2,Married,3838,8192,8,Y,No,11,3,4,80,0,8,5,3,5,4,0,2,800-1200,2-5,>80,2500-5000,5000-10000,5 to 10,<5,2 to 4,4354,0k to 5k
583,34,0,Travel_Rarely,1111,Sales,8,2,Life Sciences,1,808,3,Female,93,3,2,Sales Executive,1,Married,6500,13305,5,Y,No,17,3,2,80,1,6,1,3,3,2,1,2,800-1200,5-10,>80,5000-7500,10000-15000,5 to 10,<5,<2,6805,5k-10k
1080,46,0,Travel_Rarely,228,Sales,3,3,Life Sciences,1,1527,3,Female,51,3,4,Manager,2,Married,16606,11380,8,Y,No,12,3,4,80,1,23,2,4,13,12,5,1,<400,2-5,40-60,>10000,10000-15000,20 to 25,10 to 15,>8,-5226,<0
1431,32,0,Travel_Rarely,801,Sales,1,4,Marketing,1,2016,3,Female,48,3,3,Sales Executive,4,Married,10422,24032,1,Y,No,19,3,3,80,2,14,3,3,14,10,5,7,800-1200,<2,40-60,>10000,20000-25000,10 to 15,10 to 15,>8,13610,10k-15k
1357,42,0,Travel_Rarely,1396,Research & Development,6,3,Medical,1,1911,3,Male,83,3,3,Research Director,1,Married,13348,14842,9,Y,No,13,3,2,80,1,18,3,4,13,7,5,7,>1200,5-10,>80,>10000,10000-15000,15 to 20,10 to 15,6 to 8,1494,0k to 5k
285,37,0,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,391,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,Y,No,12,3,2,80,0,17,3,3,17,12,5,7,>1200,<2,40-60,<2500,15000-20000,15 to 20,15 to 20,>8,13766,10k-15k
1297,26,1,Travel_Rarely,920,Human Resources,20,2,Medical,1,1818,4,Female,69,3,1,Human Resources,2,Married,2148,6889,0,Y,Yes,11,3,3,80,0,6,3,3,5,1,1,4,800-1200,15-20,60-80,<2500,5000-10000,5 to 10,<5,<2,4741,0k to 5k
314,39,0,Travel_Rarely,117,Research & Development,10,1,Medical,1,429,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Y,Yes,14,3,4,80,0,21,3,3,21,9,11,10,<400,5-10,>80,>10000,5000-10000,20 to 25,>20,>8,-11713,<0
1326,32,1,Travel_Rarely,414,Sales,2,4,Marketing,1,1862,3,Male,82,2,2,Sales Executive,2,Single,9907,26186,7,Y,Yes,12,3,3,80,0,7,3,2,2,2,2,2,400-800,<2,>80,7500-10000,>25000,5 to 10,<5,<2,16279,15k-20k
592,47,0,Travel_Rarely,202,Research & Development,2,2,Other,1,820,3,Female,33,3,4,Manager,4,Married,16752,12982,1,Y,Yes,11,3,3,80,1,26,3,2,26,14,3,0,<400,<2,<40,>10000,10000-15000,25 to 30,>20,>8,-3770,<0
813,39,1,Travel_Frequently,203,Research & Development,2,3,Life Sciences,1,1127,1,Male,84,3,4,Healthcare Representative,4,Divorced,12169,13547,7,Y,No,11,3,4,80,3,21,4,3,18,7,11,5,<400,<2,>80,>10000,10000-15000,20 to 25,15 to 20,6 to 8,1378,0k to 5k
1441,56,0,Non-Travel,667,Research & Development,1,4,Life Sciences,1,2026,3,Male,57,3,2,Healthcare Representative,3,Divorced,6306,26236,1,Y,No,21,4,1,80,1,13,2,2,13,12,1,9,400-800,<2,40-60,5000-7500,>25000,10 to 15,10 to 15,>8,19930,15k-20k
254,29,0,Travel_Rarely,1247,Sales,20,2,Marketing,1,349,4,Male,45,3,2,Sales Executive,4,Divorced,6931,10732,2,Y,No,14,3,4,80,1,10,2,3,3,2,0,2,>1200,15-20,40-60,5000-7500,10000-15000,5 to 10,<5,<2,3801,0k to 5k
1272,38,0,Travel_Rarely,1153,Research & Development,6,2,Other,1,1782,4,Female,40,2,1,Laboratory Technician,3,Married,3702,16376,1,Y,No,11,3,2,80,1,5,3,3,5,4,0,4,800-1200,5-10,<40,2500-5000,15000-20000,<5,<5,2 to 4,12674,10k-15k
646,53,0,Travel_Rarely,868,Sales,8,3,Marketing,1,897,1,Male,73,3,4,Sales Executive,4,Married,11836,22789,5,Y,No,14,3,3,80,1,28,3,3,2,0,2,2,800-1200,5-10,60-80,>10000,20000-25000,25 to 30,<5,<2,10953,10k-15k
671,34,0,Travel_Rarely,546,Research & Development,10,3,Life Sciences,1,934,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1,Y,No,14,3,2,80,2,1,3,3,1,0,1,0,400-800,5-10,>80,<2500,5000-10000,<5,<5,<2,4888,0k to 5k
1126,50,0,Travel_Rarely,264,Sales,9,3,Marketing,1,1591,3,Male,59,3,5,Manager,3,Married,19331,19519,4,Y,Yes,16,3,3,80,1,27,2,3,1,0,0,0,<400,5-10,40-60,>10000,15000-20000,25 to 30,<5,<2,188,0k to 5k
532,47,0,Travel_Rarely,703,Sales,14,4,Marketing,1,728,4,Male,42,3,2,Sales Executive,1,Single,4960,11825,2,Y,No,12,3,4,80,0,20,2,3,7,7,1,7,400-800,10-15,40-60,2500-5000,10000-15000,15 to 20,5 to 10,6 to 8,6865,5k-10k
670,27,0,Travel_Rarely,618,Research & Development,4,3,Life Sciences,1,933,2,Female,76,3,1,Research Scientist,3,Single,2318,17808,1,Y,No,19,3,3,80,0,1,2,3,1,1,0,0,400-800,2-5,60-80,<2500,15000-20000,<5,<5,<2,15490,15k-20k
297,35,0,Travel_Rarely,1232,Sales,16,3,Marketing,1,406,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,Y,No,15,3,3,80,2,12,3,2,11,9,6,9,>1200,15-20,>80,7500-10000,5000-10000,10 to 15,10 to 15,>8,-2920,<0
1454,45,0,Travel_Rarely,374,Sales,20,3,Life Sciences,1,2046,4,Female,50,3,2,Sales Executive,3,Single,4850,23333,8,Y,No,15,3,3,80,0,8,3,3,5,3,0,1,<400,15-20,40-60,2500-5000,20000-25000,5 to 10,<5,2 to 4,18483,15k-20k
1094,40,0,Travel_Rarely,1342,Sales,9,2,Medical,1,1548,1,Male,47,3,2,Sales Executive,1,Married,5473,19345,0,Y,No,12,3,4,80,0,9,5,4,8,4,7,1,>1200,5-10,40-60,5000-7500,15000-20000,5 to 10,5 to 10,2 to 4,13872,10k-15k
413,42,0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4,>1200,>20,>80,2500-5000,<5000,5 to 10,5 to 10,4 to 6,-137,<0
366,41,1,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,<400,2-5,40-60,7500-10000,5000-10000,5 to 10,5 to 10,6 to 8,203,0k to 5k
889,27,0,Travel_Rarely,1103,Research & Development,14,3,Life Sciences,1,1244,1,Male,42,3,1,Research Scientist,1,Married,2235,14377,1,Y,Yes,14,3,4,80,2,9,3,2,9,7,6,8,800-1200,10-15,40-60,<2500,10000-15000,5 to 10,5 to 10,6 to 8,12142,10k-15k
836,29,1,Travel_Rarely,408,Sales,23,1,Life Sciences,1,1165,4,Female,45,2,3,Sales Executive,1,Married,7336,11162,1,Y,No,13,3,1,80,1,11,3,1,11,8,3,10,400-800,>20,40-60,5000-7500,10000-15000,10 to 15,10 to 15,6 to 8,3826,0k to 5k
1317,27,0,Travel_Frequently,1297,Research & Development,5,2,Life Sciences,1,1850,4,Female,53,3,1,Laboratory Technician,4,Single,2379,19826,0,Y,Yes,14,3,3,80,0,6,3,2,5,4,0,2,>1200,2-5,40-60,<2500,15000-20000,5 to 10,<5,2 to 4,17447,15k-20k
1422,35,0,Travel_Rarely,1490,Research & Development,11,4,Medical,1,2003,4,Male,43,3,1,Laboratory Technician,3,Married,2660,20232,7,Y,Yes,11,3,3,80,1,5,3,3,2,2,2,2,>1200,10-15,40-60,2500-5000,20000-25000,<5,<5,<2,17572,15k-20k
144,32,0,Travel_Frequently,689,Sales,9,2,Medical,1,195,4,Male,35,1,2,Sales Executive,4,Divorced,4668,22812,0,Y,No,17,3,4,80,3,9,2,4,8,7,0,7,400-800,5-10,<40,2500-5000,20000-25000,5 to 10,5 to 10,6 to 8,18144,15k-20k
1436,21,0,Travel_Rarely,501,Sales,5,1,Medical,1,2021,3,Male,58,3,1,Sales Representative,1,Single,2380,25479,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2,400-800,2-5,40-60,<2500,>25000,<5,<5,<2,23099,>20k
1257,31,1,Travel_Rarely,1079,Sales,16,4,Marketing,1,1761,1,Male,70,3,3,Sales Executive,3,Married,8161,19002,2,Y,No,13,3,1,80,3,10,2,3,1,0,0,0,800-1200,15-20,60-80,7500-10000,15000-20000,5 to 10,<5,<2,10841,10k-15k
840,35,0,Travel_Rarely,982,Research & Development,1,4,Medical,1,1172,4,Male,58,2,1,Laboratory Technician,3,Married,2258,16340,6,Y,No,12,3,2,80,1,10,2,3,8,0,1,7,800-1200,<2,40-60,<2500,15000-20000,5 to 10,5 to 10,<2,14082,10k-15k
1283,28,0,Travel_Rarely,1181,Research & Development,1,3,Life Sciences,1,1799,3,Male,82,3,1,Research Scientist,4,Married,2044,5531,1,Y,No,11,3,3,80,1,5,6,4,5,3,0,3,800-1200,<2,>80,<2500,5000-10000,<5,<5,2 to 4,3487,0k to 5k
1455,40,0,Travel_Rarely,1322,Research & Development,2,4,Life Sciences,1,2048,3,Male,52,2,1,Research Scientist,3,Single,2809,2725,2,Y,No,14,3,4,80,0,8,2,3,2,2,2,2,>1200,<2,40-60,2500-5000,<5000,5 to 10,<5,<2,-84,<0
973,35,0,Travel_Rarely,817,Research & Development,1,3,Medical,1,1369,4,Female,60,2,2,Laboratory Technician,4,Married,5363,10846,0,Y,No,12,3,2,80,1,10,0,3,9,7,0,0,800-1200,<2,40-60,5000-7500,10000-15000,5 to 10,5 to 10,6 to 8,5483,5k-10k
1033,31,1,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,1459,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,>1200,<2,>80,5000-7500,5000-10000,5 to 10,5 to 10,6 to 8,1485,0k to 5k
2,37,1,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,>1200,<2,>80,<2500,<5000,5 to 10,,<2,306,0k to 5k
307,38,0,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,421,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,Y,No,17,3,3,80,1,19,2,3,10,8,0,1,800-1200,>20,>80,>10000,>25000,15 to 20,5 to 10,6 to 8,14646,10k-15k
331,27,0,Non-Travel,210,Sales,1,1,Marketing,1,449,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Y,Yes,13,3,4,80,1,6,0,3,5,4,1,4,<400,<2,60-80,5000-7500,20000-25000,5 to 10,<5,2 to 4,15758,15k-20k
1464,26,0,Travel_Rarely,1167,Sales,5,3,Other,1,2060,4,Female,30,2,1,Sales Representative,3,Single,2966,21378,0,Y,No,18,3,4,80,0,5,2,3,4,2,0,0,800-1200,2-5,<40,2500-5000,20000-25000,<5,<5,<2,18412,15k-20k
648,37,0,Travel_Frequently,1231,Sales,21,2,Medical,1,900,3,Female,54,3,1,Sales Representative,4,Married,2973,21222,5,Y,No,15,3,2,80,1,10,3,3,5,4,0,0,>1200,>20,40-60,2500-5000,20000-25000,5 to 10,<5,2 to 4,18249,15k-20k
1,49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,<400,5-10,60-80,5000-7500,20000-25000,5 to 10,5 to 10,6 to 8,19777,15k-20k
1234,47,0,Non-Travel,543,Sales,2,4,Marketing,1,1731,3,Male,87,3,2,Sales Executive,2,Married,4978,3536,7,Y,No,11,3,4,80,1,4,3,1,1,0,0,0,400-800,<2,>80,2500-5000,<5000,<5,<5,<2,-1442,<0
1203,53,0,Travel_Rarely,1395,Research & Development,24,4,Medical,1,1689,2,Male,48,4,3,Healthcare Representative,4,Married,7005,3458,3,Y,No,15,3,3,80,0,11,2,3,4,3,1,2,>1200,>20,40-60,5000-7500,<5000,10 to 15,<5,2 to 4,-3547,<0
1086,50,0,Travel_Frequently,333,Research & Development,22,5,Medical,1,1539,3,Male,88,1,4,Research Director,4,Single,14411,24450,1,Y,Yes,13,3,4,80,0,32,2,3,32,6,13,9,<400,>20,>80,>10000,20000-25000,>30,>20,4 to 6,10039,10k-15k
891,44,0,Travel_Rarely,1117,Research & Development,2,1,Life Sciences,1,1246,1,Female,72,4,1,Research Scientist,4,Married,2011,19982,1,Y,No,13,3,4,80,1,10,5,3,10,5,7,7,800-1200,<2,60-80,<2500,15000-20000,5 to 10,5 to 10,4 to 6,17971,15k-20k
676,35,0,Travel_Rarely,1137,Research & Development,21,1,Life Sciences,1,942,4,Female,51,3,2,Healthcare Representative,4,Married,4014,19170,1,Y,Yes,25,4,4,80,1,10,2,1,10,6,0,7,800-1200,>20,40-60,2500-5000,15000-20000,5 to 10,5 to 10,4 to 6,15156,15k-20k
993,25,0,Travel_Rarely,1372,Sales,18,1,Life Sciences,1,1399,1,Male,93,4,2,Sales Executive,3,Married,6232,12477,2,Y,No,11,3,2,80,0,6,3,2,3,2,1,2,>1200,15-20,>80,5000-7500,10000-15000,5 to 10,<5,<2,6245,5k-10k
553,40,0,Travel_Rarely,804,Research & Development,2,1,Medical,1,763,4,Female,86,2,1,Research Scientist,4,Single,2342,22929,0,Y,Yes,20,4,4,80,0,5,2,2,4,2,2,3,800-1200,<2,>80,<2500,20000-25000,<5,<5,<2,20587,>20k
387,40,0,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3,400-800,<2,40-60,5000-7500,20000-25000,5 to 10,<5,2 to 4,16838,15k-20k
613,34,0,Travel_Rarely,829,Human Resources,3,2,Human Resources,1,847,3,Male,88,3,1,Human Resources,4,Married,3737,2243,0,Y,No,19,3,3,80,1,4,1,1,3,2,0,2,800-1200,2-5,>80,2500-5000,<5000,<5,<5,<2,-1494,<0
1421,47,0,Non-Travel,1162,Research & Development,1,1,Medical,1,2000,3,Female,98,3,3,Research Director,2,Married,11957,17231,0,Y,No,18,3,1,80,2,14,3,1,13,8,5,12,800-1200,<2,>80,>10000,15000-20000,10 to 15,10 to 15,6 to 8,5274,5k-10k
602,30,0,Travel_Rarely,946,Research & Development,2,3,Medical,1,833,3,Female,52,2,2,Manufacturing Director,4,Single,6877,20234,5,Y,Yes,24,4,2,80,0,12,4,2,0,0,0,0,800-1200,<2,40-60,5000-7500,20000-25000,10 to 15,,<2,13357,10k-15k
1109,30,0,Travel_Rarely,1288,Sales,29,4,Technical Degree,1,1568,3,Male,33,3,3,Sales Executive,2,Married,9250,17799,3,Y,No,12,3,2,80,1,9,3,3,4,2,1,3,>1200,>20,<40,7500-10000,15000-20000,5 to 10,<5,<2,8549,5k-10k
403,41,0,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7,400-800,<2,40-60,7500-10000,15000-20000,5 to 10,5 to 10,6 to 8,11174,10k-15k
401,56,0,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married,13212,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,800-1200,5-10,>80,>10000,15000-20000,>30,5 to 10,6 to 8,5044,5k-10k
998,26,0,Travel_Rarely,683,Research & Development,2,1,Medical,1,1407,1,Male,36,2,1,Research Scientist,4,Single,3904,4050,0,Y,No,12,3,4,80,0,5,2,3,4,3,1,1,400-800,<2,<40,2500-5000,<5000,<5,<5,2 to 4,146,0k to 5k
620,35,0,Travel_Rarely,1343,Research & Development,27,1,Medical,1,856,3,Female,53,2,1,Research Scientist,1,Single,2559,17852,1,Y,No,11,3,4,80,0,6,3,2,6,5,1,1,>1200,>20,40-60,2500-5000,15000-20000,5 to 10,5 to 10,4 to 6,15293,15k-20k
450,31,0,Travel_Rarely,828,Sales,2,1,Life Sciences,1,604,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5,800-1200,<2,60-80,5000-7500,5000-10000,5 to 10,5 to 10,4 to 6,1764,0k to 5k
601,40,0,Travel_Frequently,720,Research & Development,16,4,Medical,1,832,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,6,Y,No,14,3,4,80,0,10,6,3,1,0,0,0,400-800,15-20,40-60,5000-7500,10000-15000,5 to 10,<5,<2,6889,5k-10k
1313,29,1,Travel_Rarely,350,Human Resources,13,3,Human Resources,1,1844,1,Male,56,2,1,Human Resources,1,Divorced,2335,3157,4,Y,Yes,15,3,4,80,3,4,3,3,2,2,2,0,<400,10-15,40-60,<2500,<5000,<5,<5,<2,822,0k to 5k
675,31,0,Travel_Rarely,154,Sales,7,4,Life Sciences,1,941,2,Male,41,2,1,Sales Representative,3,Married,2329,11737,3,Y,No,15,3,2,80,0,13,2,4,7,7,5,2,<400,5-10,40-60,<2500,10000-15000,10 to 15,5 to 10,6 to 8,9408,5k-10k
992,39,0,Non-Travel,1485,Research & Development,25,2,Life Sciences,1,1397,3,Male,71,3,3,Healthcare Representative,3,Married,10920,3449,3,Y,No,21,4,2,80,1,13,2,3,6,4,0,5,>1200,>20,60-80,>10000,<5000,10 to 15,5 to 10,2 to 4,-7471,<0
575,54,0,Travel_Rarely,376,Research & Development,19,4,Medical,1,799,4,Female,95,3,2,Manufacturing Director,1,Divorced,5485,22670,9,Y,Yes,11,3,2,80,2,9,4,3,5,3,1,4,<400,15-20,>80,5000-7500,20000-25000,5 to 10,<5,2 to 4,17185,15k-20k
772,56,0,Travel_Frequently,1240,Research & Development,9,3,Medical,1,1071,1,Female,63,3,1,Research Scientist,3,Married,2942,12154,2,Y,No,19,3,2,80,1,18,4,3,5,4,0,3,>1200,5-10,60-80,2500-5000,10000-15000,15 to 20,<5,2 to 4,9212,5k-10k
784,38,0,Travel_Rarely,330,Research & Development,17,1,Life Sciences,1,1088,3,Female,65,2,3,Healthcare Representative,3,Married,8823,24608,0,Y,No,18,3,1,80,1,20,4,2,19,9,1,9,<400,15-20,60-80,7500-10000,20000-25000,15 to 20,15 to 20,>8,15785,15k-20k
830,41,0,Travel_Rarely,167,Research & Development,12,4,Life Sciences,1,1158,2,Male,46,3,1,Laboratory Technician,4,Married,4766,9051,3,Y,Yes,11,3,1,80,1,6,4,3,1,0,0,0,<400,10-15,40-60,2500-5000,5000-10000,5 to 10,<5,<2,4285,0k to 5k
938,58,0,Travel_Rarely,848,Research & Development,23,4,Life Sciences,1,1308,1,Male,88,3,1,Research Scientist,3,Divorced,2372,26076,1,Y,No,12,3,4,80,2,2,3,3,2,2,2,2,800-1200,>20,>80,<2500,>25000,<5,<5,<2,23704,>20k
1260,32,0,Non-Travel,953,Research & Development,5,4,Technical Degree,1,1764,2,Male,65,3,1,Research Scientist,2,Single,2718,17674,2,Y,No,14,3,2,80,0,12,3,3,7,7,0,7,800-1200,2-5,60-80,2500-5000,15000-20000,10 to 15,5 to 10,6 to 8,14956,10k-15k
597,42,0,Travel_Rarely,932,Research & Development,1,2,Life Sciences,1,827,4,Female,43,2,2,Manufacturing Director,4,Married,6062,4051,9,Y,Yes,13,3,4,80,1,8,4,3,4,3,0,2,800-1200,<2,40-60,5000-7500,<5000,5 to 10,<5,2 to 4,-2011,<0
310,31,0,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,424,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,Y,No,12,3,4,80,0,9,1,3,2,2,1,0,<400,<2,60-80,5000-7500,15000-20000,5 to 10,<5,<2,11412,10k-15k
